Rightsholder,Post URL,Platform,Account,Date,Format,Account Type,Sponsor,Placement,Start Timestamp,Stop Timestamp,Comments,Shares,Duration,Clarity,Size of Sponsor,Placement of Sponsor,Prominence,Visibility,30 Second Cost,Media Broadcast URL
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:11:12,0:11:19,,,7,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:11:23,0:11:34,,,11,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:11:23,0:11:34,,,11,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:11:44,0:11:53,,,9,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:12:06,0:12:11,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:12:45,0:12:49,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:13:12,0:13:16,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:14:05,0:14:08,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:14:18,0:14:20,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:14:30,0:14:33,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:15:41,0:15:51,,,10,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:16:15,0:16:17,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:16:23,0:16:29,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:16:36,0:16:42,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:16:46,0:16:49,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:17:00,0:17:01,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:17:09,0:17:13,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:17:51,0:17:56,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:19:18,0:19:21,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:19:25,0:19:30,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:19:35,0:19:41,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:19:56,0:20:01,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:22:36,0:22:38,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:23:11,0:23:16,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:23:22,0:23:27,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:23:30,0:23:33,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:23:46,0:23:52,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:23:58,0:24:01,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:23:58,0:24:01,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:24:26,0:24:29,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:24:34,0:24:37,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:24:41,0:24:44,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:24:56,0:25:08,,,12,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:25:20,0:25:23,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:25:30,0:25:34,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:25:39,0:25:41,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:25:47,0:25:50,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:25:56,0:25:58,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:26:01,0:26:08,,,7,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:26:26,0:26:31,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:26:35,0:26:37,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:26:44,0:26:47,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:27:00,0:27:02,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:27:07,0:27:10,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:27:17,0:27:21,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:29:04,0:29:13,,,9,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:29:35,0:29:43,,,8,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:29:47,0:29:49,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:29:55,0:30:02,,,7,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:31:04,0:31:08,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:32:40,0:32:57,,,17,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:33:03,0:33:06,,,3,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:33:22,0:33:30,,,8,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:33:34,0:33:36,,,2,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:33:45,0:33:47,,,2,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:33:59,0:34:05,,,6,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:34:59,0:35:00,,,1,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:35:00,0:35:02,,,2,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:35:10,0:35:11,,,1,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:35:16,0:35:20,,,4,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:35:22,0:35:25,,,3,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:35:39,0:35:41,,,2,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:35:52,0:35:53,,,1,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:36:07,0:36:08,,,1,Blurry,1-5%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:36:16,0:36:25,,,9,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:36:40,0:36:41,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:37:07,0:37:08,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:37:18,0:37:19,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:38:41,0:38:42,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:38:51,0:38:53,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:39:35,0:39:39,,,4,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:39:56,0:40:01,,,5,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:40:07,0:40:08,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:41:16,0:41:18,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:53:58,0:54:01,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,0:54:03,0:54:05,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:01:29,1:01:31,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:01:39,1:01:41,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:01:50,1:01:51,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:02:14,1:02:20,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:03:14,1:03:20,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:03:32,1:03:34,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:03:43,1:03:45,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:03:56,1:03:58,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:04:04,1:04:05,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:04:30,1:04:33,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:04:53,1:04:56,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:05:01,1:05:02,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:05:17,1:05:28,,,11,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:05:49,1:05:57,,,8,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:06:06,1:06:08,,,2,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:06:25,1:06:28,,,3,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:06:52,1:06:59,,,7,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:07:04,1:07:05,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:07:10,1:07:11,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:07:54,1:08:00,,,6,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
Tampa Bay Lightning,Montreal Canadians @ Tampa Bay Lightning,Broadcast,FS-Sun,3/10/2018,Video,O&O,Amalie Oil,Arena Ice Logo,1:08:22,1:08:23,,,1,Difficult to Read,0-1%,Top/Bottom/Sides,Background,80%+,,
